,id,user_id,created_at,text,Clean,Translate
0,1066193963265085440,cessphoebe,2018-11-24 04:57:04,Begitu gajian rasanya pengen nonton fantastic beast-suzanna-wreck it ralph langsung sehari :'),  begitu    gajian    rasanya    ingin    nonton    fantastic    beast         suzanna         wreck    it    ralph    langsung    sehari         ,once the payday feels like watching fantastic beast and wrapping it instantly a day
1,1066039906655338496,aulazack,2018-11-23 18:44:54,"Saran film yg seru? Model"" fantastic beast kalo bisa",  saran    film    yang    seru         model         fantastic    beast    kalau    bisa  ,exciting movie advice on a fantastic beast if possible
2,1066000870058278912,setchan89,2018-11-23 16:09:47,Abis nonton fantastic beast trus PAAN SIH INI,  habis    nonton    fantastic    beast    terus    paan    sih    ini  ,"after watching fantastic beast, then this guy"
3,1065991814400770051,niekoap,2018-11-23 15:33:48,Habis nonton fantastic beast. Terus langsung open discussion dibahas sampe malem. Ngalahin diskusi KPKU ni 🤔,  habis    nonton    fantastic    beast         terus    langsung    open    discussion    dibahas    hingga    malem         ngalahin    diskusi    kpku    ini     thinking face   ,"after watching fantastic beast, the open discussion was immediately discussed until Malem lost my discussion, I was thinking face"
4,1065989076019376128,gebifelina,2018-11-23 15:22:55,"Baru sempet nonton fantastic beast. Satu pikiran gua daritadi "" ini rasa penasaran gua harus terjawab berapa taun lagi?😭""",  baru    sempat    nonton    fantastic    beast         satu    pikiran    saya    daritadi         ini    rasa    penasaran    saya    harus    terjawab    berapa    tahun    lagi          loudly crying face        ,"I had just watched my fantastic beast one thought from this, so my curiosity had to be answered how many more years was loudly crying face"
5,1065986839171878912,annisa_rianti,2018-11-23 15:14:02,Fix pemeran Fantastic Beast udah dipantau sejak lama sama tim. Callum Turner pernah main sama Daniel Radcliffe.,  fix    pemeran    fantastic    beast    sudah    dipantau    sejak    lama    sama    tim         callum    turner    pernah    main    sama    daniel    radcliffe       ,the fix for the fantastic beast cast has been monitored for a long time with the callum turner team playing with Daniel Radcliffe
6,1065984642497441793,shittymuc,2018-11-23 15:05:18,Fantastic Beast 2 didn't look so fantastic like the 1st one. But still loved Eddie ❤️ #fridaynightmovie,  fantastic    beast    2    didn t    look    so    fantastic    like    the    1st    one         but    still    loved    eddie     red heart           fridaynightmovie  ,fantastic    beast    2    didn t    look    so    fantastic    like    the    1st    one         but    still    loved    eddie     red heart           fridaynightmovie
7,1065970037813432321,abrarkadabra,2018-11-23 14:07:16,Ralph breaks the internet &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Fantastic Beast : Rise of the silver surfer,  ralph    breaks    the    internet                                            fantastic    beast         rise    of    the    silver    surfer  ,ralph    breaks    the    internet                                            fantastic    beast         rise    of    the    silver    surfer
8,1065969011962216450,ineedspacexx,2018-11-23 14:03:11,setelah nonton fantastic beast saya penasaran nanti kelanjutannya gimana.. nunggu bertahun tahun lg :(,  setelah    nonton    fantastic    beast    saya    penasaran    nanti    kelanjutannya    gimana          tunggu    bertahun    tahun    lagi        ,"after watching fantastic beast, I was curious about the follow-up, how about waiting for more years"
9,1065946976129212416,AristaRiris1,2018-11-23 12:35:38,"Ralph udh main hari ini, belum nonton Fantastic beast.. belum nonton Yg lain lain lain :((( 😣",  ralph    sudah    main    hari    ini         belum    nonton    fantastic    beast          belum    nonton    yang    lain    lain    lain             persevering face   ,Ralph has been playing today but hasn't watched Fantastic Beast yet watching other others persevering face
10,1065943927771942914,annisa_rianti,2018-11-23 12:23:31,"Baru nonton Fantastic Beast. Cerita tetap sama, tapi gue pribadi ngerasa lebih puas liat yg skrg karena nonton di XXI bukan CGV",  baru    nonton    fantastic    beast         cerita    tetap    sama         tapi    saya    pribadi    merasa    lebih    puas    lihat    yang    sekarang    karena    nonton    di    xxi    bukan    cgv  ,just watching fantastic beast stories remains the same but I personally feel more satisfied seeing what is now because watching on xxi is not cgv
11,1065937940738584577,faixkar,2018-11-23 11:59:43,Semoga hari Senin masih ada Fantastic Beast di IMAX 3D 😥,  semoga    hari    senin    masih    ada    fantastic    beast    di    imax    3d     sad but relieved face   ,I hope Monday there will still be fantastic beast on IMAX Sad But Relieved Face
12,1065900587873521664,agngbdmn,2018-11-23 09:31:18,"trailer the lion king cu bet, eh fantastic beast belum ;,(",  trailer    the    lion    king    lucu    sangat         eh    fantastic    beast    belum                 ,funny trailer the lion king is very fantastic fantastic beast yet
