,id,user_id,created_at,text,Clean,Translate,Labels
0,1.07E+18,cessphoebe,11/24/2018 4:57,Begitu gajian rasanya pengen nonton fantastic beast-suzanna-wreck it ralph langsung sehari :'),  begitu    gajian    rasanya    ingin    nonton    fantastic    beast         suzanna         wreck    it    ralph    langsung    sehari         ,once the payday feels like watching fantastic beast and wrapping it instantly a day,positif
1,1.07E+18,aulazack,11/23/2018 18:44,"Saran film yg seru? Model"" fantastic beast kalo bisa",  saran    film    yang    seru         model         fantastic    beast    kalau    bisa  ,exciting movie advice on a fantastic beast if possible,positif
2,1.07E+18,setchan89,11/23/2018 16:09,Abis nonton fantastic beast trus PAAN SIH INI,  habis    nonton    fantastic    beast    terus    paan    sih    ini  ,"after watching fantastic beast, then this guy",negatif
3,1.07E+18,niekoap,11/23/2018 15:33,Habis nonton fantastic beast. Terus langsung open discussion dibahas sampe malem. Ngalahin diskusi KPKU ni 🤔,  habis    nonton    fantastic    beast         terus    langsung    open    discussion    dibahas    hingga    malem         ngalahin    diskusi    kpku    ini     thinking face   ,"after watching fantastic beast, the open discussion was immediately discussed until Malem lost my discussion, I was thinking face",positif
4,1.07E+18,gebifelina,11/23/2018 15:22,"Baru sempet nonton fantastic beast. Satu pikiran gua daritadi "" ini rasa penasaran gua harus terjawab berapa taun lagi?😭""",  baru    sempat    nonton    fantastic    beast         satu    pikiran    saya    daritadi         ini    rasa    penasaran    saya    harus    terjawab    berapa    tahun    lagi          loudly crying face        ,"I had just watched my fantastic beast one thought from this, so my curiosity had to be answered how many more years was loudly crying face",positif
5,1.07E+18,annisa_rianti,11/23/2018 15:14,Fix pemeran Fantastic Beast udah dipantau sejak lama sama tim. Callum Turner pernah main sama Daniel Radcliffe.,  fix    pemeran    fantastic    beast    sudah    dipantau    sejak    lama    sama    tim         callum    turner    pernah    main    sama    daniel    radcliffe       ,the fix for the fantastic beast cast has been monitored for a long time with the callum turner team playing with Daniel Radcliffe,positif
6,1.07E+18,shittymuc,11/23/2018 15:05,Fantastic Beast 2 didn't look so fantastic like the 1st one. But still loved Eddie ❤️ #fridaynightmovie,  fantastic    beast    2    didn t    look    so    fantastic    like    the    1st    one         but    still    loved    eddie     red heart           fridaynightmovie  ,fantastic    beast    2    didn t    look    so    fantastic    like    the    1st    one         but    still    loved    eddie     red heart           fridaynightmovie,negatif
7,1.07E+18,abrarkadabra,11/23/2018 14:07,Ralph breaks the internet &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Fantastic Beast : Rise of the silver surfer,  ralph    breaks    the    internet                                            fantastic    beast         rise    of    the    silver    surfer  ,ralph    breaks    the    internet                                            fantastic    beast         rise    of    the    silver    surfer,positif
8,1.07E+18,ineedspacexx,11/23/2018 14:03,setelah nonton fantastic beast saya penasaran nanti kelanjutannya gimana.. nunggu bertahun tahun lg :(,  setelah    nonton    fantastic    beast    saya    penasaran    nanti    kelanjutannya    gimana          tunggu    bertahun    tahun    lagi        ,"after watching fantastic beast, I was curious about the follow-up, how about waiting for more years",positif
9,1.07E+18,AristaRiris1,11/23/2018 12:35,"Ralph udh main hari ini, belum nonton Fantastic beast.. belum nonton Yg lain lain lain :((( 😣",  ralph    sudah    main    hari    ini         belum    nonton    fantastic    beast          belum    nonton    yang    lain    lain    lain             persevering face   ,Ralph has been playing today but hasn't watched Fantastic Beast yet watching other others persevering face,negatif
