id,user_id,created_at,text
1066193963265085440,cessphoebe,2018-11-24 04:57:04,Begitu gajian rasanya pengen nonton fantastic beast-suzanna-wreck it ralph langsung sehari :')
1066039906655338496,aulazack,2018-11-23 18:44:54,"Saran film yg seru? Model"" fantastic beast kalo bisa"
1066000870058278912,setchan89,2018-11-23 16:09:47,Abis nonton fantastic beast trus PAAN SIH INI
1065991814400770051,niekoap,2018-11-23 15:33:48,Habis nonton fantastic beast. Terus langsung open discussion dibahas sampe malem. Ngalahin diskusi KPKU ni 🤔
1065989076019376128,gebifelina,2018-11-23 15:22:55,"Baru sempet nonton fantastic beast. Satu pikiran gua daritadi "" ini rasa penasaran gua harus terjawab berapa taun lagi?😭"""
1065986839171878912,annisa_rianti,2018-11-23 15:14:02,Fix pemeran Fantastic Beast udah dipantau sejak lama sama tim. Callum Turner pernah main sama Daniel Radcliffe.
1065984642497441793,shittymuc,2018-11-23 15:05:18,Fantastic Beast 2 didn't look so fantastic like the 1st one. But still loved Eddie ❤️ #fridaynightmovie
1065970037813432321,abrarkadabra,2018-11-23 14:07:16,Ralph breaks the internet &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; Fantastic Beast : Rise of the silver surfer
1065969011962216450,ineedspacexx,2018-11-23 14:03:11,setelah nonton fantastic beast saya penasaran nanti kelanjutannya gimana.. nunggu bertahun tahun lg :(
1065946976129212416,AristaRiris1,2018-11-23 12:35:38,"Ralph udh main hari ini, belum nonton Fantastic beast.. belum nonton Yg lain lain lain :((( 😣"
1065943927771942914,annisa_rianti,2018-11-23 12:23:31,"Baru nonton Fantastic Beast. Cerita tetap sama, tapi gue pribadi ngerasa lebih puas liat yg skrg karena nonton di XXI bukan CGV"
1065937940738584577,faixkar,2018-11-23 11:59:43,Semoga hari Senin masih ada Fantastic Beast di IMAX 3D 😥
1065900587873521664,agngbdmn,2018-11-23 09:31:18,"trailer the lion king cu bet, eh fantastic beast belum ;,("
1065850909043830785,alynurrahmann,2018-11-23 06:13:53,&lt;~~ sepanjang nonton fantastic beast masuk angin. Setengah mampus nahan sendawa dan kentut.
1065646703540264961,__geger,2018-11-22 16:42:27,"Setelah nonton Fantastic Beast 2, gw sangat yakin klo Grindelwald itu sarjana komunikasi"
1065624160527802368,hello_naa,2018-11-22 15:12:52,Beloooom nontoooon fantastic beast..... knp premiere nya di tanggal2 keramat.
1065608604294631424,Tiffanyalvz,2018-11-22 14:11:03,Sumpah w nntn fantastic beast ga ngerti jalan ceritanya wkwkwk. Maaf ya
1065608470307565568,luthfirama_,2018-11-22 14:10:32,Fantastic beast kali ini cukup mengecewakan krn cerita yang kurang dikembangkan. Semua ini adalah opini pirbadi dan hasil menonton
1065604105073115136,gerrykusuma13,2018-11-22 13:53:11,"#spoileralert Fantastic beast 2 sekilas jalan ceritanya seperti drama sinetron indosiar, ""putra yang tertukar"""
1065573998048595968,kalamfthr,2018-11-22 11:53:33,"fantastic beast, bohemian, terus ada lagi robin hood. kasian dong dompet saya lama lama🙃🙃🙃"
1065543120530497536,ineedspacexx,2018-11-22 09:50:51,akhirnya udah nonton fantastic beast 😆
1065506565652803584,tdprima,2018-11-22 07:25:36,"Nonton bioskop sendiri itu hal yg wajar ga sih, pgen nonton fantastic beast tapi ya gitu ga ada temen yg paham ama filmnya. 😥"
1065505045259550720,annisa_rianti,2018-11-22 07:19:33,Fix kayanya sekumpulan cast Fantastic Beast (yg cowok) lagi be usaha mengembalikan nama baik Johnny Depp
1065453635742515201,farhanalv,2018-11-22 03:55:16,Sebelum saka agari enaknya suzana apa fantastic beast ya
1065431275564019712,florenciasendy,2018-11-22 02:26:25,Efek fantastic beast jadi nonton ulang harry potter sedari awal~
1065321364679155712,3d4c26b763cc88f,2018-11-21 19:09:40,rewatched Fantastic Beast and Tina still stunning
1065304690101895168,Maria_Toyet,2018-11-21 18:03:25,Penggemar Harry Potter psti gemes bgt sama Fantastic Beast :The Crime of Grindelwarld 🤗
1065301251175272448,Paansihu,2018-11-21 17:49:45,"2jam nonton fantastic beast. Keluar2 melongo ""Kita nonton apaan sih?"""
1065290788110663680,_tiabcd,2018-11-21 17:08:10,Jalan cerita Fantastic Beast yg kedua ini macam k-drama genre makjang.. 😂
1065282696119672832,gitanp_,2018-11-21 16:36:01,Fantastic beast tidak yah...
1065263203544793089,meivianaency,2018-11-21 15:18:34,"Cuy 
Fantastic Beast Crime of Grindelwald bikin mikir subhanallah, aku sakit mental"
1065246214742929410,inisihfree,2018-11-21 14:11:03,FANTASTIC BEAST KEREN BANGET GILSSS
1065231440214843396,nchiehanie1,2018-11-21 13:12:21,"Enaknya malam2  gini sepulang kerja bikin suki sendiri sambil dengerin anak cerita  Film Fantastic Beast 2, 

#PesonaJAFFFilmFest"
1065205268173086720,fajaraufar,2018-11-21 11:28:21,"Gantung bgst 😭
Ini Fantastic Beast bukan serial netflix kan yak?"
1065198056700669953,khrisnaBK,2018-11-21 10:59:41,Suka sm karakter Newt di Fantastic Beast karena dia penyayang hewan
1065086719060402178,niahae30,2018-11-21 03:37:16,Kemarin gagal ntn fantastic beast hehe 😂😂😂
1065052933060882432,Grumpy_Kitttens,2018-11-21 01:23:01,"Fantastic Beast 2 was beautifully made movie, most of the characters were great, but Story/plot 🚮"
1065049142068621312,andanifd,2018-11-21 01:07:57,"nagini looks so pretty and sweet in fantastic beast, just how did she ends up with voldemort"
1064962636259909637,pikopikoe,2018-11-20 19:24:13,/casually dodging myself for every spoiler-alike of fantastic beast bcs I haven't watched it yet/
1064945519493935104,EdwinPahlevi,2018-11-20 18:16:12,"Pengalaman saya setelah menontonton fantastic beast seperti judul lagu bcl, kecewa."
1064940144824737792,oppaandmoney,2018-11-20 17:54:50,Yaudah gabut mau cerita pas nonton fantastic beast aja yang tiketnya antri dimana mana heuheu
1064920932165156864,gstkhrsm,2018-11-20 16:38:30,"OE I DON'T CARE ABOUT THE RATINGS AND SHIT, TO FANTASTIC BEAST 2 KEREN JIR."
1064917922559156224,ediedires,2018-11-20 16:26:32,Fantastic beast boljug nih
1064910234022342656,ngurahsaka,2018-11-20 15:55:59,Aku belum nnton fantastic beast
